title,description,price,category,campus,condition,ownerStudentId
华为66W快充头和线,原装正品，线有点旧,40,电子产品,主校区,八成新,123
九阳小型电饭煲,,65,生活用品,北校区,九成新,123
Adidas经典款卫衣（L码）,黑色，八成新，无破损,85,服饰鞋包,主校区,八成新,123
瑜伽垫（加厚款）,仅使用过几次，已清洁,15,运动健身,南校区,九成新,123
数据结构（严蔚敏版）,经典教材，带学习笔记,18,书籍教材,北校区,八成新,123
闪迪128G U盘,USB 3.0，读取速度快,60,电子产品,主校区,全新,123
宿舍用衣物收纳箱（3个）,可折叠，毕业甩卖,10,生活用品,南校区,九成新,123
匡威高帮帆布鞋（41码）,鞋边泛黄，介意勿扰,130,服饰鞋包,北校区,轻微瑕疵,123
二手网球拍,初学者适用，送三个网球,35,运动健身,主校区,八成新,123
高等数学（同济七版）上下册,,22,书籍教材,南校区,九成新,123
雷蛇有线游戏鼠标,右键偶尔双击，便宜出,55,电子产品,北校区,轻微瑕疵,123
小米台灯Pro,亮度色温可调，功能完好,180,生活用品,主校区,九成新,123
Champion冠军T恤（M码）,白色，领口轻微发黄,45,服饰鞋包,南校区,八成新,123
跳绳（计数款）,电子计数，全新,12,运动健身,北校区,全新,123
马克思主义基本原理概论,划过重点，期末复习神器,5,书籍教材,主校区,八成新,123
